                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.7069,                 1.4834,                 1.0898,                 0.6048,                0.48726,                0.49319,                0.22764,                 1.7382,                 3.1726,                0.78264,             2.2001e-05,             2.2001e-05,             2.2001e-05
                     80,                 1.7565,                 1.4896,                 1.0988,                0.62303,                0.48126,                 0.4923,                0.22769,                 1.7415,                 3.1694,                0.78163,             2.1001e-05,             2.1001e-05,             2.1001e-05
                     81,                 1.7802,                 1.4887,                 1.0844,                0.61576,                0.48533,                0.49866,                  0.228,                 1.7466,                 3.1773,                0.77823,             2.0001e-05,             2.0001e-05,             2.0001e-05
                     82,                 1.7651,                 1.5009,                 1.0859,                0.61125,                0.47976,                0.49881,                0.22916,                 1.7472,                 3.1785,                0.77737,             1.9001e-05,             1.9001e-05,             1.9001e-05
                     83,                 1.7415,                 1.5103,                 1.0972,                0.61718,                0.48726,                0.50155,                 0.2281,                 1.7456,                 3.1822,                0.77559,             1.8001e-05,             1.8001e-05,             1.8001e-05
                     84,                 1.7489,                 1.5239,                  1.091,                0.59291,                0.48876,                0.49329,                0.22425,                 1.7439,                 3.1796,                0.77553,             1.7001e-05,             1.7001e-05,             1.7001e-05
                     85,                 1.7339,                 1.5273,                 1.1027,                0.60753,                0.49175,                0.49449,                0.22542,                 1.7436,                 3.1667,                0.77812,             1.6001e-05,             1.6001e-05,             1.6001e-05
                     86,                 1.7435,                 1.4855,                 1.0874,                0.59034,                0.50225,                0.49114,                0.22548,                 1.7392,                 3.1627,                0.77967,             1.5001e-05,             1.5001e-05,             1.5001e-05
                     87,                 1.7316,                 1.4684,                 1.0801,                0.59356,                0.49325,                0.49136,                0.22653,                 1.7302,                 3.1655,                0.77789,             1.4001e-05,             1.4001e-05,             1.4001e-05
                     88,                 1.7539,                 1.4936,                 1.0877,                0.59195,                0.49153,                0.49346,                 0.2268,                 1.7288,                 3.1724,                0.77782,             1.3001e-05,             1.3001e-05,             1.3001e-05
                     89,                 1.7312,                 1.5154,                 1.0995,                0.59375,                0.48576,                0.49279,                0.22777,                 1.7257,                 3.1809,                0.77625,             1.2001e-05,             1.2001e-05,             1.2001e-05
                     90,                 1.7476,                 1.4848,                 1.0808,                0.59925,                0.48576,                0.49358,                0.22513,                 1.7307,                 3.1731,                0.77728,             1.1001e-05,             1.1001e-05,             1.1001e-05
                     91,                 1.7149,                 1.5173,                 1.0794,                0.59414,                0.49025,                0.49166,                0.22722,                 1.7266,                 3.1717,                0.77692,             1.0001e-05,             1.0001e-05,             1.0001e-05
                     92,                  1.723,                 1.5028,                 1.1046,                0.58659,                0.49775,                0.49127,                0.22663,                 1.7297,                 3.1635,                0.77804,             9.0009e-06,             9.0009e-06,             9.0009e-06
                     93,                 1.7449,                 1.5269,                 1.0962,                0.58651,                0.49625,                 0.4922,                 0.2275,                 1.7297,                 3.1618,                0.77773,             8.0009e-06,             8.0009e-06,             8.0009e-06
                     94,                 1.7961,                  1.519,                 1.0998,                0.58451,                0.49143,                0.49298,                0.22853,                 1.7288,                 3.1659,                0.77765,             7.0009e-06,             7.0009e-06,             7.0009e-06
                     95,                 1.7788,                 1.5133,                 1.0967,                0.57809,                0.49713,                0.49749,                0.22834,                 1.7334,                 3.1676,                0.77692,             6.0009e-06,             6.0009e-06,             6.0009e-06
                     96,                  1.783,                 1.5006,                 1.0954,                0.58731,                0.48576,                0.49473,                0.22593,                 1.7325,                 3.1749,                0.77563,              5.001e-06,              5.001e-06,              5.001e-06
                     97,                 1.7376,                  1.556,                 1.0949,                0.58478,                0.48876,                0.49435,                0.22678,                 1.7343,                 3.1726,                0.77572,              4.001e-06,              4.001e-06,              4.001e-06
                     98,                 1.7382,                 1.4974,                 1.0944,                0.58181,                0.48876,                0.49383,                0.22755,                 1.7326,                 3.1735,                0.77528,              3.001e-06,              3.001e-06,              3.001e-06
                     99,                 1.7422,                 1.4946,                 1.1015,                0.58251,                0.49367,                0.49643,                0.22875,                 1.7357,                 3.1731,                0.77672,              2.001e-06,              2.001e-06,              2.001e-06
